Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Transfer,Savings,2024-04-13 0:22:27,2024-04-13 0:22:27,Pocket Withdrawal,-1000,0,RON,COMPLETED,1000
Transfer,Savings,2024-04-23 9:40:21,2024-04-23 9:40:21,Pocket Withdrawal,-100,0,RON,COMPLETED,900
Transfer,Savings,2024-04-24 14:09:15,2024-04-24 14:09:15,Pocket Withdrawal,-150,0,RON,COMPLETED,750
Transfer,Savings,2024-04-25 17:30:04,2024-04-25 17:30:04,To pocket RON Economii from RON,1250,0,RON,COMPLETED,2000
Transfer,Savings,2024-04-28 18:27:44,2024-04-28 18:27:44,Pocket Withdrawal,-50,0,RON,COMPLETED,1950
Transfer,Savings,2024-04-29 16:41:43,2024-04-29 16:41:43,Pocket Withdrawal,-50,0,RON,COMPLETED,1900
Transfer,Savings,2024-04-29 19:05:16,2024-04-29 19:05:16,Pocket Withdrawal,-10,0,RON,COMPLETED,1890
Transfer,Savings,2024-04-29 23:36:20,2024-04-29 23:36:20,Pocket Withdrawal,-10,0,RON,COMPLETED,1880
Transfer,Savings,2024-04-30 14:22:18,2024-04-30 14:22:18,Pocket Withdrawal,-30,0,RON,COMPLETED,1850
Transfer,Savings,2024-04-30 16:26:39,2024-04-30 16:26:39,Pocket Withdrawal,-50,0,RON,COMPLETED,1800
Transfer,Savings,2024-04-30 18:26:20,2024-04-30 18:26:20,Pocket Withdrawal,-100,0,RON,COMPLETED,1700
Transfer,Savings,2024-04-30 18:37:20,2024-04-30 18:37:20,To pocket RON Economii from RON,50,0,RON,COMPLETED,1750
Transfer,Savings,2024-05-01 11:52:49,2024-05-01 11:52:49,To pocket RON Economii from RON,500,0,RON,COMPLETED,2250
Transfer,Savings,2024-05-01 11:53:14,2024-05-01 11:53:14,To pocket RON Economii from RON,23.82,0,RON,COMPLETED,2273.82
Transfer,Savings,2024-05-06 13:09:02,2024-05-06 13:09:02,Pocket Withdrawal,-23.82,0,RON,COMPLETED,2250
Transfer,Savings,2024-05-07 16:33:29,2024-05-07 16:33:29,Pocket Withdrawal,-250,0,RON,COMPLETED,2000
Transfer,Savings,2024-05-07 20:50:32,2024-05-07 20:50:32,To pocket RON Economii from RON,200,0,RON,COMPLETED,2200
Transfer,Savings,2024-05-08 15:13:30,2024-05-08 15:13:30,Pocket Withdrawal,-200,0,RON,COMPLETED,2000
Transfer,Savings,2024-05-08 21:30:04,2024-05-08 21:30:04,To pocket RON Economii from RON,150,0,RON,COMPLETED,2150
Transfer,Savings,2024-05-09 15:43:17,2024-05-09 15:43:17,Pocket Withdrawal,-50,0,RON,COMPLETED,2100
Transfer,Savings,2024-05-09 19:19:41,2024-05-09 19:19:41,Pocket Withdrawal,-750,0,RON,COMPLETED,1350
Transfer,Savings,2024-05-09 20:25:05,2024-05-09 20:25:05,Pocket Withdrawal,-100,0,RON,COMPLETED,1250
Transfer,Savings,2024-05-09 22:37:04,2024-05-09 22:37:04,Pocket Withdrawal,-1250,0,RON,COMPLETED,0
Transfer,Savings,2024-05-11 12:04:19,2024-05-11 12:04:19,Closing transaction,0,0,RON,COMPLETED,0
Transfer,Savings,2024-12-12 21:34:29,2024-12-12 21:34:29,Closing transaction,0,0,RON,COMPLETED,0
Transfer,Deposit,2024-05-09 22:37:34,2024-05-09 22:37:35,Savings Vault topup,50,0,RON,COMPLETED,50
Transfer,Deposit,2024-05-09 22:37:48,2024-05-09 22:37:48,From RON Savings account,-50,0,RON,COMPLETED,0
Transfer,Deposit,2024-05-09 22:37:56,2024-05-09 22:37:56,Savings Vault topup,1250,0,RON,COMPLETED,1250
Interest,Deposit,2024-05-10 4:00:00,2024-05-10 9:45:58,"Net interest paid to ""Savings account"" for May 10, 2024",0.08,0.01,RON,COMPLETED,1250.07
Interest,Deposit,2024-05-11 4:00:00,2024-05-11 9:52:04,"Net interest paid to ""Savings account"" for May 11, 2024",0.09,0.01,RON,COMPLETED,1250.15
Transfer,Deposit,2024-05-11 12:04:35,2024-05-11 12:04:35,From RON Savings account,-10,0,RON,COMPLETED,1240.15
Transfer,Deposit,2024-05-11 14:03:41,2024-05-11 14:03:41,From RON Savings account,-1240,0,RON,COMPLETED,0.15
Transfer,Deposit,2024-05-13 11:37:14,2024-05-13 11:37:15,From RON Savings account,-0.15,0,RON,COMPLETED,0
Transfer,Deposit,2024-05-15 19:04:17,2024-05-15 19:04:17,Savings Vault topup,1700,0,RON,COMPLETED,1700
Interest,Deposit,2024-05-16 4:00:00,2024-05-16 6:02:48,"Net interest paid to ""Savings account"" for May 16, 2024",0.11,0.02,RON,COMPLETED,1700.09
Interest,Deposit,2024-05-17 4:00:00,2024-05-17 7:55:56,"Net interest paid to ""Savings account"" for May 17, 2024",0.12,0.02,RON,COMPLETED,1700.19
Transfer,Deposit,2024-05-17 23:59:11,2024-05-17 23:59:11,From RON Savings account,-50,0,RON,COMPLETED,1650.19
Interest,Deposit,2024-05-18 4:00:00,2024-05-18 5:45:25,"Net interest paid to ""Savings account"" for May 18, 2024",0.11,0.02,RON,COMPLETED,1650.28
Interest,Deposit,2024-05-19 4:00:00,2024-05-19 8:39:35,"Net interest paid to ""Savings account"" for May 19, 2024",0.11,0.02,RON,COMPLETED,1650.37
Transfer,Deposit,2024-05-19 13:55:08,2024-05-19 13:55:08,Savings Vault topup,150,0,RON,COMPLETED,1800.37
Interest,Deposit,2024-05-20 4:00:00,2024-05-20 6:46:32,"Net interest paid to ""Savings account"" for May 20, 2024",0.13,0.02,RON,COMPLETED,1800.48
Transfer,Deposit,2024-05-20 17:28:26,2024-05-20 17:28:26,From RON Savings account,-50,0,RON,COMPLETED,1750.48
Transfer,Deposit,2024-05-20 20:17:01,2024-05-20 20:17:01,Savings Vault topup,200,0,RON,COMPLETED,1950.48
Transfer,Deposit,2024-05-20 23:03:43,2024-05-20 23:03:43,From RON Savings account,-100,0,RON,COMPLETED,1850.48
Transfer,Deposit,2024-05-20 23:04:52,2024-05-20 23:04:53,Savings Vault topup,50,0,RON,COMPLETED,1900.48
Transfer,Deposit,2024-05-21 2:28:49,2024-05-21 2:28:49,From RON Savings account,-100,0,RON,COMPLETED,1800.48
Transfer,Deposit,2024-05-21 2:30:05,2024-05-21 2:30:05,Savings Vault topup,100,0,RON,COMPLETED,1900.48
Interest,Deposit,2024-05-21 4:00:00,2024-05-21 10:06:43,"Net interest paid to ""Savings account"" for May 21, 2024",0.13,0.02,RON,COMPLETED,1900.59
Transfer,Deposit,2024-05-21 11:29:08,2024-05-21 11:29:08,Savings Vault topup,1600,0,RON,COMPLETED,3500.59
Transfer,Deposit,2024-05-21 11:42:11,2024-05-21 11:42:11,From RON Savings account,-100,0,RON,COMPLETED,3400.59
Transfer,Deposit,2024-05-21 16:26:20,2024-05-21 16:26:20,Savings Vault topup,50,0,RON,COMPLETED,3450.59
Interest,Deposit,2024-05-22 4:00:00,2024-05-22 8:29:40,"Net interest paid to ""Savings account"" for May 22, 2024",0.23,0.03,RON,COMPLETED,3450.79
Transfer,Deposit,2024-05-22 14:18:35,2024-05-22 14:18:35,From RON Savings account,-250,0,RON,COMPLETED,3200.79
Transfer,Deposit,2024-05-22 22:29:20,2024-05-22 22:29:21,Savings Vault topup,1200,0,RON,COMPLETED,4400.79
Transfer,Deposit,2024-05-23 11:11:53,2024-05-23 11:11:53,From RON Savings account,-100,0,RON,COMPLETED,4300.79
Interest,Deposit,2024-05-23 4:00:00,2024-05-23 11:32:51,"Net interest paid to ""Savings account"" for May 23, 2024",0.3,0.05,RON,COMPLETED,4301.04
Transfer,Deposit,2024-05-23 21:23:18,2024-05-23 21:23:18,From RON Savings account,-550,0,RON,COMPLETED,3751.04
Transfer,Deposit,2024-05-23 21:24:48,2024-05-23 21:24:48,Savings Vault topup,49,0,RON,COMPLETED,3800.04
Interest,Deposit,2024-05-24 4:00:00,2024-05-24 7:24:18,"Net interest paid to ""Savings account"" for May 24, 2024",0.26,0.04,RON,COMPLETED,3800.26
Transfer,Deposit,2024-05-24 14:13:20,2024-05-24 14:13:20,From RON Savings account,-100,0,RON,COMPLETED,3700.26
Interest,Deposit,2024-05-25 4:00:00,2024-05-25 6:35:26,"Net interest paid to ""Savings account"" for May 25, 2024",0.25,0.04,RON,COMPLETED,3700.47
Interest,Deposit,2024-05-26 4:00:00,2024-05-26 5:54:13,"Net interest paid to ""Savings account"" for May 26, 2024",0.26,0.04,RON,COMPLETED,3700.69
Transfer,Deposit,2024-05-26 13:48:56,2024-05-26 13:48:56,From RON Savings account,-50,0,RON,COMPLETED,3650.69
Transfer,Deposit,2024-05-26 15:58:23,2024-05-26 15:58:23,From RON Savings account,-150,0,RON,COMPLETED,3500.69
Interest,Deposit,2024-05-27 4:00:00,2024-05-27 7:56:42,"Net interest paid to ""Savings account"" for May 27, 2024",0.24,0.04,RON,COMPLETED,3500.89
Transfer,Deposit,2024-05-27 9:38:11,2024-05-27 9:38:11,From RON Savings account,-3,0,RON,COMPLETED,3497.89
Transfer,Deposit,2024-05-27 9:41:08,2024-05-27 9:41:08,From RON Savings account,-97.98,0,RON,COMPLETED,3399.91
Transfer,Deposit,2024-05-27 9:41:17,2024-05-27 9:41:17,Savings Vault topup,0.9,0,RON,COMPLETED,3400.81
Interest,Deposit,2024-05-28 4:00:00,2024-05-28 6:40:27,"Net interest paid to ""Savings account"" for May 28, 2024",0.23,0.03,RON,COMPLETED,3401.01
Interest,Deposit,2024-05-29 4:00:00,2024-05-29 7:47:47,"Net interest paid to ""Savings account"" for May 29, 2024",0.23,0.03,RON,COMPLETED,3401.21
